Load data info from ./datainfo/train_df_6_5.pickle
Number of samples in training dataset: 16315
Number of samples in validation dataset: 4075

Moving model to GPU...

Loaded weights from: ./models/t000102050809_v04060710_im184x608_s5x7_b8_rnn1000_optAdagrad_lr0.0005.model.train

Begin training model...

Batch Number 1 Loss: 120.526
Batch Number 2 Loss: 112.439
Batch Number 3 Loss: 25.699
Batch Number 4 Loss: 135.761
Batch Number 5 Loss: 112.763
Batch Number 6 Loss: 60.055
Batch Number 7 Loss: 27.412
Batch Number 8 Loss: 55.676
Batch Number 9 Loss: 48.008
Batch Number 10 Loss: 115.698
Batch Number 11 Loss: 94.019
Batch Number 12 Loss: 73.263
Batch Number 13 Loss: 104.332
Batch Number 14 Loss: 62.304
Batch Number 15 Loss: 111.992
Batch Number 16 Loss: 40.471
Batch Number 17 Loss: 27.682
Batch Number 18 Loss: 52.472
Batch Number 19 Loss: 58.157
Batch Number 20 Loss: 48.554
Batch Number 21 Loss: 59.614
Batch Number 22 Loss: 89.099
Batch Number 23 Loss: 72.764
Batch Number 24 Loss: 39.690
Batch Number 25 Loss: 32.666
Batch Number 26 Loss: 98.038
Batch Number 27 Loss: 8.364
Batch Number 28 Loss: 69.730
Batch Number 29 Loss: 131.035
Batch Number 30 Loss: 84.111
Batch Number 31 Loss: 97.471
Batch Number 32 Loss: 65.387
Batch Number 33 Loss: 81.268
Batch Number 34 Loss: 43.854
Batch Number 35 Loss: 72.793
Batch Number 36 Loss: 71.900
Batch Number 37 Loss: 75.678
Batch Number 38 Loss: 82.207
Batch Number 39 Loss: 18.990
Batch Number 40 Loss: 106.342
Batch Number 41 Loss: 34.040
Batch Number 42 Loss: 80.846
Batch Number 43 Loss: 95.652
Batch Number 44 Loss: 21.804
Batch Number 45 Loss: 43.794
Batch Number 46 Loss: 24.110
Batch Number 47 Loss: 142.302
Batch Number 48 Loss: 59.835
Batch Number 49 Loss: 105.481
Batch Number 50 Loss: 98.838
Batch Number 51 Loss: 88.042
Batch Number 52 Loss: 31.724
Batch Number 53 Loss: 104.737
Batch Number 54 Loss: 78.163
Batch Number 55 Loss: 65.670
Batch Number 56 Loss: 36.928
Batch Number 57 Loss: 35.829
Batch Number 58 Loss: 26.972
Batch Number 59 Loss: 75.002
Batch Number 60 Loss: 118.619
Batch Number 61 Loss: 16.110
Batch Number 62 Loss: 63.355
Batch Number 63 Loss: 110.059
Batch Number 64 Loss: 31.454
Batch Number 65 Loss: 51.037
Batch Number 66 Loss: 21.344
Batch Number 67 Loss: 56.223
Batch Number 68 Loss: 63.533
Batch Number 69 Loss: 19.525
Batch Number 70 Loss: 58.659
Batch Number 71 Loss: 59.222
Batch Number 72 Loss: 92.924
Batch Number 73 Loss: 29.441
Batch Number 74 Loss: 45.272
Batch Number 75 Loss: 58.242
Batch Number 76 Loss: 27.693
Batch Number 77 Loss: 58.341
Batch Number 78 Loss: 23.401
Batch Number 79 Loss: 34.777
Batch Number 80 Loss: 58.438
Batch Number 81 Loss: 59.816
Batch Number 82 Loss: 67.329
Batch Number 83 Loss: 30.625
Batch Number 84 Loss: 24.971
Batch Number 85 Loss: 57.820
Batch Number 86 Loss: 20.386
Batch Number 87 Loss: 69.403
Batch Number 88 Loss: 32.133
Batch Number 89 Loss: 54.195
Batch Number 90 Loss: 29.739
Batch Number 91 Loss: 59.211
Batch Number 92 Loss: 31.809
Batch Number 93 Loss: 30.717
Batch Number 94 Loss: 55.873
Batch Number 95 Loss: 79.295
Batch Number 96 Loss: 73.302
Batch Number 97 Loss: 69.269
Batch Number 98 Loss: 29.109
Batch Number 99 Loss: 24.456
Batch Number 100 Loss: 28.226
Batch Number 101 Loss: 22.553
Batch Number 102 Loss: 16.260
Batch Number 103 Loss: 23.172
Batch Number 104 Loss: 67.545
Batch Number 105 Loss: 13.638
Batch Number 106 Loss: 48.658
Batch Number 107 Loss: 63.147
Batch Number 108 Loss: 21.818
Batch Number 109 Loss: 28.757
Batch Number 110 Loss: 13.891
Batch Number 111 Loss: 42.092
Batch Number 112 Loss: 47.354
Batch Number 113 Loss: 30.514
Batch Number 114 Loss: 66.551
Batch Number 115 Loss: 21.284
Batch Number 116 Loss: 69.634
Batch Number 117 Loss: 51.538
Batch Number 118 Loss: 24.765
Batch Number 119 Loss: 16.668
Batch Number 120 Loss: 13.812
Batch Number 121 Loss: 86.061
Batch Number 122 Loss: 75.746
Batch Number 123 Loss: 20.668
Batch Number 124 Loss: 13.000
Batch Number 125 Loss: 11.235
Batch Number 126 Loss: 54.983
Batch Number 127 Loss: 78.029
Batch Number 128 Loss: 30.361
Batch Number 129 Loss: 30.146
Batch Number 130 Loss: 58.611
Batch Number 131 Loss: 46.215
Batch Number 132 Loss: 47.608
Batch Number 133 Loss: 19.652
Batch Number 134 Loss: 38.517
Batch Number 135 Loss: 11.560
Batch Number 136 Loss: 38.045
Batch Number 137 Loss: 42.844
Batch Number 138 Loss: 23.414
Batch Number 139 Loss: 44.101
Batch Number 140 Loss: 58.147
Batch Number 141 Loss: 43.522
Batch Number 142 Loss: 17.778
Batch Number 143 Loss: 63.000
Batch Number 144 Loss: 146.004
Batch Number 145 Loss: 25.507
Batch Number 146 Loss: 59.247
Batch Number 147 Loss: 17.872
Batch Number 148 Loss: 26.351
Batch Number 149 Loss: 22.434
Batch Number 150 Loss: 37.092
Batch Number 151 Loss: 51.116
Batch Number 152 Loss: 60.881
Batch Number 153 Loss: 28.278
Batch Number 154 Loss: 29.689
Batch Number 155 Loss: 27.707
Batch Number 156 Loss: 44.337
Batch Number 157 Loss: 14.375
Batch Number 158 Loss: 82.815
Batch Number 159 Loss: 14.503
Batch Number 160 Loss: 53.653
Batch Number 161 Loss: 32.211
Batch Number 162 Loss: 7.643
Batch Number 163 Loss: 30.931
Batch Number 164 Loss: 58.938
Batch Number 165 Loss: 36.357
Batch Number 166 Loss: 76.466
Batch Number 167 Loss: 21.218
Batch Number 168 Loss: 23.464
Batch Number 169 Loss: 12.229
Batch Number 170 Loss: 48.338
Batch Number 171 Loss: 17.885
Batch Number 172 Loss: 25.319
Batch Number 173 Loss: 41.771
Batch Number 174 Loss: 5.391
Batch Number 175 Loss: 25.526
Batch Number 176 Loss: 22.088
Batch Number 177 Loss: 4.027
Batch Number 178 Loss: 25.753
Batch Number 179 Loss: 18.899
Batch Number 180 Loss: 19.979
Batch Number 181 Loss: 74.130
Batch Number 182 Loss: 11.175
Batch Number 183 Loss: 56.408
Batch Number 184 Loss: 48.258
Batch Number 185 Loss: 17.327
Batch Number 186 Loss: 10.811
Batch Number 187 Loss: 33.220
Batch Number 188 Loss: 42.727
Batch Number 189 Loss: 10.132
Batch Number 190 Loss: 27.914
Batch Number 191 Loss: 15.537
Batch Number 192 Loss: 30.302
Batch Number 193 Loss: 12.460
Batch Number 194 Loss: 10.429
Batch Number 195 Loss: 16.951
Batch Number 196 Loss: 17.383
Batch Number 197 Loss: 6.303
Batch Number 198 Loss: 32.819
Batch Number 199 Loss: 35.536
Batch Number 200 Loss: 13.333
Batch Number 201 Loss: 28.422
Batch Number 202 Loss: 16.626
Batch Number 203 Loss: 18.345
Batch Number 204 Loss: 63.769
Batch Number 205 Loss: 6.372
Batch Number 206 Loss: 14.284
Batch Number 207 Loss: 8.066
Batch Number 208 Loss: 13.075
Batch Number 209 Loss: 37.137
Batch Number 210 Loss: 22.782
Batch Number 211 Loss: 28.196
Batch Number 212 Loss: 37.717
Batch Number 213 Loss: 62.084
Batch Number 214 Loss: 54.974
Batch Number 215 Loss: 7.663
Batch Number 216 Loss: 9.931
Batch Number 217 Loss: 20.339
Batch Number 218 Loss: 35.197
Batch Number 219 Loss: 32.819
Batch Number 220 Loss: 23.176
Batch Number 221 Loss: 9.492
Batch Number 222 Loss: 16.602
Batch Number 223 Loss: 23.763
Batch Number 224 Loss: 16.909
Batch Number 225 Loss: 40.594
Batch Number 226 Loss: 23.398
Batch Number 227 Loss: 24.241
Batch Number 228 Loss: 4.084
Batch Number 229 Loss: 79.308
Batch Number 230 Loss: 33.788
Batch Number 231 Loss: 8.665
Batch Number 232 Loss: 13.015
Batch Number 233 Loss: 9.436
Batch Number 234 Loss: 47.352
Batch Number 235 Loss: 15.935
Batch Number 236 Loss: 55.145
Batch Number 237 Loss: 19.842
Batch Number 238 Loss: 11.015
Batch Number 239 Loss: 15.358
Batch Number 240 Loss: 9.600
Batch Number 241 Loss: 12.750
Batch Number 242 Loss: 13.351
Batch Number 243 Loss: 41.239
Batch Number 244 Loss: 14.523
Batch Number 245 Loss: 9.803
Batch Number 246 Loss: 22.610
Batch Number 247 Loss: 13.587
Batch Number 248 Loss: 14.381
Batch Number 249 Loss: 7.371
Batch Number 250 Loss: 9.930
Batch Number 251 Loss: 5.834
Batch Number 252 Loss: 8.336
Batch Number 253 Loss: 5.695
Batch Number 254 Loss: 15.043
Batch Number 255 Loss: 48.829
Batch Number 256 Loss: 11.497
Batch Number 257 Loss: 26.272
Batch Number 258 Loss: 14.442
Batch Number 259 Loss: 31.606
Batch Number 260 Loss: 9.664
Batch Number 261 Loss: 9.194
Batch Number 262 Loss: 3.906
Batch Number 263 Loss: 14.684
Batch Number 264 Loss: 38.854
Batch Number 265 Loss: 23.957
Batch Number 266 Loss: 10.146
Batch Number 267 Loss: 9.548
Batch Number 268 Loss: 6.601
Batch Number 269 Loss: 8.911
Batch Number 270 Loss: 16.483
Batch Number 271 Loss: 8.448
Batch Number 272 Loss: 8.281
Batch Number 273 Loss: 10.973
Batch Number 274 Loss: 23.617
Batch Number 275 Loss: 29.922
Batch Number 276 Loss: 12.535
Batch Number 277 Loss: 35.010
Batch Number 278 Loss: 39.884
Batch Number 279 Loss: 8.485
Batch Number 280 Loss: 17.750
Batch Number 281 Loss: 15.349
Batch Number 282 Loss: 18.989
Batch Number 283 Loss: 17.405
Batch Number 284 Loss: 21.174
Batch Number 285 Loss: 15.028
Batch Number 286 Loss: 28.239
Batch Number 287 Loss: 34.947
Batch Number 288 Loss: 26.517
Batch Number 289 Loss: 13.802
Batch Number 290 Loss: 16.839
Batch Number 291 Loss: 26.396
Batch Number 292 Loss: 49.277
Batch Number 293 Loss: 14.940
Batch Number 294 Loss: 7.470
Batch Number 295 Loss: 16.643
Batch Number 296 Loss: 33.304
Batch Number 297 Loss: 12.576
Batch Number 298 Loss: 43.252
Batch Number 299 Loss: 25.474
Batch Number 300 Loss: 21.887
Batch Number 301 Loss: 7.450
Batch Number 302 Loss: 28.181
Batch Number 303 Loss: 14.179
Batch Number 304 Loss: 38.328
Batch Number 305 Loss: 13.456
Batch Number 306 Loss: 8.768
Batch Number 307 Loss: 8.339
Batch Number 308 Loss: 10.997
Batch Number 309 Loss: 5.839
Batch Number 310 Loss: 9.602
Batch Number 311 Loss: 12.395
Batch Number 312 Loss: 23.372
Batch Number 313 Loss: 83.213
Batch Number 314 Loss: 34.581
Batch Number 315 Loss: 10.076
Batch Number 316 Loss: 28.496
Batch Number 317 Loss: 11.978
Batch Number 318 Loss: 12.419
Batch Number 319 Loss: 17.804
Batch Number 320 Loss: 12.230
Batch Number 321 Loss: 29.763
Batch Number 322 Loss: 8.723
Batch Number 323 Loss: 7.077
Batch Number 324 Loss: 5.784
Batch Number 325 Loss: 24.486
Batch Number 326 Loss: 8.166
Batch Number 327 Loss: 5.608
Batch Number 328 Loss: 5.056
Batch Number 329 Loss: 17.556
Batch Number 330 Loss: 14.001
Batch Number 331 Loss: 17.032
Batch Number 332 Loss: 20.675
Batch Number 333 Loss: 23.004
Batch Number 334 Loss: 5.486
Batch Number 335 Loss: 7.483
Batch Number 336 Loss: 24.287
Batch Number 337 Loss: 7.415
Batch Number 338 Loss: 27.924
Batch Number 339 Loss: 9.154
Batch Number 340 Loss: 20.477
Batch Number 341 Loss: 7.416
Batch Number 342 Loss: 10.308
Batch Number 343 Loss: 5.733
Batch Number 344 Loss: 16.157
Batch Number 345 Loss: 11.087
Batch Number 346 Loss: 5.791
Batch Number 347 Loss: 10.123
Batch Number 348 Loss: 11.805
Batch Number 349 Loss: 8.731
Batch Number 350 Loss: 30.042
Batch Number 351 Loss: 10.248
Batch Number 352 Loss: 5.580
Batch Number 353 Loss: 7.113
Batch Number 354 Loss: 23.136
Batch Number 355 Loss: 14.076
Batch Number 356 Loss: 14.679
Batch Number 357 Loss: 4.195
Batch Number 358 Loss: 11.772
Batch Number 359 Loss: 34.408
Batch Number 360 Loss: 17.371
Batch Number 361 Loss: 18.735
Batch Number 362 Loss: 18.025
Batch Number 363 Loss: 25.873
Batch Number 364 Loss: 6.828
Batch Number 365 Loss: 6.598
Batch Number 366 Loss: 6.987
Batch Number 367 Loss: 38.730
Batch Number 368 Loss: 14.745
Batch Number 369 Loss: 6.754
Batch Number 370 Loss: 4.068
Batch Number 371 Loss: 13.840
Batch Number 372 Loss: 32.643
Batch Number 373 Loss: 32.530
Batch Number 374 Loss: 7.789
Batch Number 375 Loss: 16.506
Batch Number 376 Loss: 7.345
Batch Number 377 Loss: 3.976
Batch Number 378 Loss: 12.481
Batch Number 379 Loss: 5.956
Batch Number 380 Loss: 4.081
Batch Number 381 Loss: 1.949
Batch Number 382 Loss: 12.408
Batch Number 383 Loss: 17.110
Batch Number 384 Loss: 3.370
Batch Number 385 Loss: 11.624
Batch Number 386 Loss: 7.863
Batch Number 387 Loss: 7.502
Batch Number 388 Loss: 12.034
Batch Number 389 Loss: 4.288
Batch Number 390 Loss: 15.532
Batch Number 391 Loss: 10.976
Batch Number 392 Loss: 11.336
Batch Number 393 Loss: 5.441
Batch Number 394 Loss: 6.700
Batch Number 395 Loss: 10.412
Batch Number 396 Loss: 7.283
Batch Number 397 Loss: 5.329
Batch Number 398 Loss: 15.264
Batch Number 399 Loss: 9.490
Batch Number 400 Loss: 6.731
Batch Number 401 Loss: 6.717
Batch Number 402 Loss: 5.822
Batch Number 403 Loss: 3.803
Batch Number 404 Loss: 5.902
Batch Number 405 Loss: 13.582
Batch Number 406 Loss: 11.786
Batch Number 407 Loss: 28.378
Batch Number 408 Loss: 33.220
Batch Number 409 Loss: 2.206
Batch Number 410 Loss: 37.711
Batch Number 411 Loss: 15.892
Batch Number 412 Loss: 16.212
Batch Number 413 Loss: 47.174
Batch Number 414 Loss: 16.677
Batch Number 415 Loss: 11.184
Batch Number 416 Loss: 8.776
Batch Number 417 Loss: 10.189
Batch Number 418 Loss: 8.020
Batch Number 419 Loss: 10.058
Batch Number 420 Loss: 12.758
Batch Number 421 Loss: 3.662
Batch Number 422 Loss: 6.842
Batch Number 423 Loss: 8.860
Batch Number 424 Loss: 17.571
Batch Number 425 Loss: 8.785
Batch Number 426 Loss: 8.274
Batch Number 427 Loss: 11.165
Batch Number 428 Loss: 8.274
Batch Number 429 Loss: 12.884
Batch Number 430 Loss: 13.632
Batch Number 431 Loss: 6.468
Batch Number 432 Loss: 5.571
Batch Number 433 Loss: 7.122
Batch Number 434 Loss: 27.168
Batch Number 435 Loss: 9.859
Batch Number 436 Loss: 9.108
Batch Number 437 Loss: 4.689
Batch Number 438 Loss: 2.984
Batch Number 439 Loss: 5.413
Batch Number 440 Loss: 8.683
Batch Number 441 Loss: 12.610
Batch Number 442 Loss: 7.360
Batch Number 443 Loss: 8.686
Batch Number 444 Loss: 19.298
Batch Number 445 Loss: 11.998
Batch Number 446 Loss: 7.794
Batch Number 447 Loss: 2.518
Batch Number 448 Loss: 4.408
Batch Number 449 Loss: 4.672
Batch Number 450 Loss: 4.892
Batch Number 451 Loss: 2.918
Batch Number 452 Loss: 9.570
Batch Number 453 Loss: 22.085
Batch Number 454 Loss: 3.568
Batch Number 455 Loss: 11.829
Batch Number 456 Loss: 31.381
Batch Number 457 Loss: 9.220
Batch Number 458 Loss: 3.746
Batch Number 459 Loss: 12.439
Batch Number 460 Loss: 38.761
Batch Number 461 Loss: 2.986
Batch Number 462 Loss: 14.968
Batch Number 463 Loss: 2.791
Batch Number 464 Loss: 16.158
Batch Number 465 Loss: 2.870
Batch Number 466 Loss: 3.657
Batch Number 467 Loss: 3.716
Batch Number 468 Loss: 8.614
Batch Number 469 Loss: 17.147
Batch Number 470 Loss: 5.648
Batch Number 471 Loss: 5.718
Batch Number 472 Loss: 18.528
Batch Number 473 Loss: 4.052
Batch Number 474 Loss: 5.735
Batch Number 475 Loss: 2.684
Batch Number 476 Loss: 15.178
Batch Number 477 Loss: 9.823
Batch Number 478 Loss: 5.804
Batch Number 479 Loss: 3.236
Batch Number 480 Loss: 3.636
Batch Number 481 Loss: 3.858
Batch Number 482 Loss: 10.053
Batch Number 483 Loss: 34.398
Batch Number 484 Loss: 3.434
Batch Number 485 Loss: 18.802
Batch Number 486 Loss: 25.799
Batch Number 487 Loss: 4.559
Batch Number 488 Loss: 10.530
Batch Number 489 Loss: 6.914
Batch Number 490 Loss: 10.833
Batch Number 491 Loss: 2.815
Batch Number 492 Loss: 10.870
Batch Number 493 Loss: 5.766
Batch Number 494 Loss: 24.308
Batch Number 495 Loss: 2.700
Batch Number 496 Loss: 2.923
Batch Number 497 Loss: 54.498
Batch Number 498 Loss: 33.798
Batch Number 499 Loss: 11.811
Batch Number 500 Loss: 20.665
Batch Number 501 Loss: 10.100
Batch Number 502 Loss: 10.903
Batch Number 503 Loss: 3.097
Batch Number 504 Loss: 6.537
Batch Number 505 Loss: 8.894
Batch Number 506 Loss: 6.142
Batch Number 507 Loss: 2.693
Batch Number 508 Loss: 7.210
Batch Number 509 Loss: 6.593
Batch Number 510 Loss: 6.517
Batch Number 511 Loss: 4.353
Batch Number 512 Loss: 9.139
Batch Number 513 Loss: 9.620
